Date,Open,High,Low,Close,Adj Close,Volume
2020-10-01,40.840000,41.869999,35.439999,36.360001,35.947151,14834300
2020-11-01,36.910000,43.430000,36.160000,43.040001,42.551300,17800700
2020-12-01,43.509998,49.110001,43.119999,48.049999,47.504417,18010400
2021-01-01,48.369999,60.000000,46.439999,56.330002,55.841839,21833200
2021-02-01,57.090000,58.279999,45.869999,49.400002,48.971897,31210000
2021-03-01,50.230000,61.320000,50.060001,54.259998,53.789772,25946400
2021-04-01,54.529999,58.500000,53.770000,55.110001,54.745136,14342800
2021-05-01,55.450001,58.349998,51.790001,55.840000,55.470295,13216900
2021-06-01,56.160000,70.720001,54.340000,57.889999,57.506725,24960500
2021-07-01,58.000000,58.490002,47.529999,49.380001,49.147358,14435500
2021-08-01,49.560001,52.410000,46.810001,52.110001,51.864494,11662100
2021-09-01,52.330002,57.099998,49.410000,56.259998,55.994946,12344100
2021-10-01,56.709999,61.660000,56.230000,61.090000,60.937656,9335800
2021-11-01,61.580002,62.290001,49.180000,49.360001,49.236908,13620800
2021-12-01,49.799999,50.900002,46.910000,49.340000,49.216961,10600600
2022-01-01,49.650002,53.660000,47.709999,49.939999,49.939999,10931700
2022-02-01,50.110001,60.580002,47.720001,59.259998,59.259998,15491900
2022-03-01,59.419998,60.840000,56.720001,57.529999,57.529999,3281700
